trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.2, 'e': 0.6491026283684022}",20,0,-172.76027085121206,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
44,False,"{'a': 0.2, 'e': 0.6426116020847181}",25,7,-23.1409753310817,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.2, 'e': 0.6361854860638709}",30,0,-62.582902036286654,"{0: 21, 1: 1, 2: 8, 3: 0, 4: 0}",0
46,False,"{'a': 0.2, 'e': 0.6298236312032323}",20,0,-120.11642968116942,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
47,False,"{'a': 0.2, 'e': 0.6235253948912}",20,0,-11.07582509758721,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.2, 'e': 0.617290140942288}",25,0,-62.45145788933869,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.2, 'e': 0.6111172395328651}",30,7,-130.09541760423,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 2}",1
50,False,"{'a': 0.2, 'e': 0.6050060671375365}",20,8,-3.426242738791463,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.2, 'e': 0.5989560064661611}",20,0,-103.29387978184927,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
52,False,"{'a': 0.2, 'e': 0.5929664464014994}",20,0,-49.13547704202753,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
53,False,"{'a': 0.2, 'e': 0.5870367819374844}",25,0,-24.876536789928885,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
54,False,"{'a': 0.2, 'e': 0.5811664141181095}",30,0,-26.345693013282347,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
55,False,"{'a': 0.2, 'e': 0.5753547499769285}",25,3,-38.30197869729907,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
56,False,"{'a': 0.2, 'e': 0.5696012024771592}",25,7,-100.5384322192729,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 2}",1
57,False,"{'a': 0.2, 'e': 0.5639051904523876}",30,0,-103.0172001303651,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
58,False,"{'a': 0.2, 'e': 0.5582661385478638}",20,16,7.566475132896461,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.2, 'e': 0.5526834771623851}",35,0,-217.78955212949288,"{0: 20, 1: 5, 2: 6, 3: 0, 4: 4}",0
60,False,"{'a': 0.2, 'e': 0.5471566423907612}",20,2,5.677567064540259,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.5416850759668536}",25,0,-30.394609515450888,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
62,False,"{'a': 0.2, 'e': 0.536268225207185}",20,0,-31.744482452267476,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
63,False,"{'a': 0.2, 'e': 0.5309055429551132}",20,0,-39.684128878967776,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
64,False,"{'a': 0.2, 'e': 0.525596487525562}",30,4,-65.52884489011913,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 1}",1
65,False,"{'a': 0.2, 'e': 0.5203405226503064}",20,0,-172.92385292238788,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 4}",0
66,False,"{'a': 0.2, 'e': 0.5151371174238033}",20,0,-37.74304632592411,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
67,False,"{'a': 0.2, 'e': 0.5099857462495653}",20,0,-6.174486729776809,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.2, 'e': 0.5048858887870696}",20,0,-56.858650585199314,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
